z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.08,0.06,0.86,-1115.8437392147753,-0.44272677548667994
0.08,0.08,0.84,-1227.7469124776544,-0.4871259411801354
0.08,0.1,0.82,-1325.0318776306522,-0.5257251261841484
0.08,0.12,0.8,-1410.276748084354,-0.559547233434851
0.08,0.14,0.78,-1485.1826377616308,-0.5892672039256284
0.08,0.16,0.76,-1550.9568197423214,-0.6153640403151726
0.08,0.18,0.74,-1608.5006865416508,-0.63819538282468
0.08,0.2,0.72,-1658.513010503455,-0.6580384792584031
0.08,0.22,0.7,-1701.5514622754126,-0.6751145933282336
0.08,0.24,0.68,-1738.0715744917907,-0.6896044640455677
0.08,0.26,0.66,-1768.4526326880587,-0.7016585783076347
0.08,0.28,0.64,-1793.0155568310292,-0.7114042656473277
0.08,0.3,0.62,-1812.0356485735101,-0.7189507558866646
0.08,0.32,0.6,-1825.7519202577387,-0.7243928805507605
0.08,0.34,0.58,-1834.3740728570192,-0.7278138414648037
0.08,0.36,0.56,-1838.0878095234075,-0.7292873189792035
0.08,0.38,0.54,-1837.0589390699752,-0.7288791000841796
0.08,0.4,0.52,-1831.436576647393,-0.7266483483234366
0.08,0.42,0.5,-1821.3556525712265,-0.7226485992068552
0.08,0.44,0.48,-1806.9388749914688,-0.71692853892737
0.08,0.46,0.46,-1788.2982461371794,-0.7095326059524617
0.08,0.48,0.44,-1765.5361979368354,-0.7005014415975833
0.08,0.5,0.42,-1738.7463861535107,-0.6898722051105167
0.08,0.52,0.4,-1708.0141594339693,-0.6776787597732308
0.08,0.54,0.38,-1673.4166982193456,-0.6639517280166565
0.08,0.56,0.36,-1635.0227958884861,-0.648718404586215
0.08,0.58,0.34,-1592.892228172219,-0.6320025063480155
0.08,0.6,0.32,-1547.0746234480794,-0.6138237240623201
0.08,0.62,0.3,-1497.607701253699,-0.5941970234888331
0.08,0.64,0.28,-1444.5146819795373,-0.5731316176456791
0.08,0.66,0.26,-1387.8005755052818,-0.5506294942734365
0.08,0.68,0.24,-1327.4469108273315,-0.5266833247403473
0.08,0.7,0.22,-1263.404238012974,-0.5012734890866549
0.08,0.72,0.2,-1195.5813552374875,-0.47436380169930414
0.08,0.74,0.18,-1123.8295671293527,-0.44589526558790177
0.08,0.76,0.16,-1047.919124284981,-0.41577672442916896
0.08,0.78,0.14,-967.5028087489627,-0.3838704145915259
0.08,0.8,0.12,-882.0572153941512,-0.34996866769267937
0.08,0.82,0.1,-790.7825784868228,-0.31375416537344286
0.08,0.84,0.08,-692.4182271265618,-0.27472671863505593
0.08,0.86,0.06,-584.8632189289915,-0.2320527488906342
0.08,0.88,0.04,-464.2528761984895,-0.1841988906389452
0.08,0.9,0.02,-321.9129521870341,-0.12772351387610512
0.08,0.92,0.0,-114.96176975458366,-0.04561270708343552
0.1,0.0,0.9,-682.7855841984783,-0.27090483140023036
0.1,0.02,0.88,-910.4598173813501,-0.3612378014892027
0.1,0.04,0.86,-1066.3510589034267,-0.42308985501620633
0.1,0.06,0.84,-1193.9552156685531,-0.4737186078405724
0.1,0.08,0.82,-1302.5098151254351,-0.5167891795459023
0.1,0.1,0.8,-1396.397156949839,-0.5540403094704064
0.1,0.12,0.78,-1478.1948672069047,-0.5864947071890229
0.1,0.14,0.76,-1549.603586738791,-0.6148271259936773
0.1,0.16,0.74,-1611.8301299277446,-0.639516386548309
0.1,0.18,0.72,-1665.7754446391846,-0.6609199526530188
0.1,0.2,0.7,-1712.1378716772379,-0.6793149008925796
0.1,0.22,0.68,-1751.4746615327313,-0.694922328275714
0.1,0.24,0.66,-1784.240935309841,-0.7079228105334375
